,Morro_Bay,Monterey_Bay,SF_RR,NoCal,SOR,ORWA_Coast,Spike_Rock,W_Vancouver_Is,Neah_Bay,San_Juan_Is,Puget_Sound,Strait_of_Georgia,BC
CR02,0.857142857,0.189189189,0.166666667,0.117647059,0,0.1,0.333333333,0.03125,0,0.073684211,0.041666667,0.035087719,0
CR03,0.071428571,0,0,0.058823529,0.068965517,0.066666667,0.111111111,0.03125,0.55,0.168421053,0.291666667,0.105263158,0
CR30,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0
CR42,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0
CR01,0,0.216216216,0.366666667,0.470588235,0.482758621,0.5,0.222222222,0.65625,0.2,0.263157895,0.375,0.631578947,0.2
CR04,0,0.108108108,0.066666667,0,0,0.1,0.055555556,0,0,0,0.041666667,0,0
CR05,0,0,0,0,0,0,0,0,0,0,0,0,0.4
CR06,0,0,0,0,0,0,0,0,0,0.031578947,0,0.01754386,0
CR07,0,0,0,0.058823529,0.068965517,0,0,0,0.05,0.021052632,0.125,0,0
CR08,0,0.243243243,0.033333333,0,0,0,0,0,0,0,0,0,0
CR09,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0
CR10,0,0,0,0,0.068965517,0.033333333,0,0,0.05,0.042105263,0,0,0
CR11,0,0,0.033333333,0,0.034482759,0,0.055555556,0.03125,0.1,0.031578947,0,0,0
CR12,0,0.081081081,0,0,0.034482759,0.033333333,0.055555556,0.09375,0,0.021052632,0,0.01754386,0
CR13,0,0,0,0.058823529,0.034482759,0,0,0,0,0.052631579,0.041666667,0,0
CR134,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR139,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR14,0,0,0,0,0,0,0,0,0,0.105263158,0.041666667,0.01754386,0
CR144,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR145,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR146,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0
CR148,0,0,0,0,0,0,0,0.03125,0,0,0,0,0
CR15,0,0,0.033333333,0.058823529,0.068965517,0.033333333,0,0,0,0,0,0,0
CR150,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR151,0,0,0,0,0,0,0,0.03125,0,0,0,0,0
CR152,0,0,0,0,0,0,0,0,0,0.010526316,0,0,0
CR153,0,0,0,0,0,0,0,0,0,0.021052632,0,0,0
CR16,0,0.027027027,0.033333333,0,0,0,0,0,0,0,0,0.052631579,0
CR17,0,0,0.066666667,0,0,0.033333333,0.055555556,0,0,0,0,0,0
CR18,0,0,0,0.058823529,0.068965517,0,0,0,0,0,0,0,0
CR19,0,0.027027027,0.033333333,0,0,0.033333333,0,0,0,0,0,0,0
CR20,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0
CR21,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0
CR22,0,0,0,0,0,0,0,0,0,0,0,0,0
CR23,0,0.027027027,0,0,0.034482759,0,0,0,0,0,0,0,0
CR24,0,0.027027027,0.033333333,0,0,0,0,0,0,0,0,0,0
CR25,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0
CR26,0,0,0,0,0,0,0,0,0,0,0,0,0
CR27,0,0,0,0,0,0,0,0,0,0,0,0,0
CR28,0,0,0,0,0.034482759,0,0,0,0,0,0,0,0
CR29,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0
CR32,0,0,0,0.058823529,0,0,0,0,0.05,0.021052632,0,0,0
CR33,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0
CR34,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0
CR35,0,0,0,0,0,0,0,0,0,0,0,0,0.4
CR36,0,0,0,0,0,0,0,0,0,0.031578947,0,0,0
CR37,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0
CR38,0,0,0,0,0,0,0.055555556,0,0,0.031578947,0,0,0
CR39,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0
CR40,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0
CR41,0,0,0,0,0,0,0.055555556,0.03125,0,0,0,0.01754386,0
CR43,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0
CR44,0,0,0,0,0,0,0,0,0,0,0,0,0
CR45,0,0,0,0,0,0,0,0,0,0,0,0,0
CR46,0,0,0,0,0,0,0,0,0,0,0,0,0
CR47,0,0,0,0,0,0,0,0,0,0,0,0,0
CR48,0,0,0,0,0,0,0,0,0,0,0,0,0
CR49,0,0,0,0,0,0,0,0,0,0,0,0,0
CR50,0,0,0,0,0,0,0,0,0,0,0,0,0
CR51,0,0,0,0,0,0,0,0,0,0,0,0,0
CR52,0,0,0,0,0,0,0,0,0,0,0,0,0
CR53,0,0,0,0,0,0,0,0,0,0,0,0,0
CR54,0,0,0,0,0,0,0,0,0,0,0,0,0
CR55,0,0,0,0,0,0,0,0,0,0,0,0,0
CR56,0,0,0,0,0,0,0,0,0,0,0,0,0
CR57,0,0,0,0,0,0,0,0,0,0,0,0,0
CR58,0,0,0,0,0,0,0,0,0,0,0,0,0
CR72,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0
CR84,0,0,0,0,0,0,0,0.03125,0,0.010526316,0,0,0
CR85,0,0,0,0,0,0,0,0.03125,0,0.010526316,0,0,0